"id","lat","longitude","razaosocial"
178577,-16.700709,-43.870556,""
179156,-16.721545,-43.863431,""
179451,-16.695662,-43.850368,""
179554,-16.692553,-43.872862,""
179948,-16.698199,-43.870126,""
178489,-16.716968,-43.850638,""
177630,-16.716932,-43.875416,""
178575,-16.699586,-43.872721,""
178488,-16.713743,-43.853728,""
178677,-16.711367,-43.844582,""
177473,-16.697904,-43.850507,""
179176,-16.717728,-43.864144,""
179923,-16.721757,-43.843177,""
179155,-16.723723,-43.861316,""
179682,-16.722657,-43.866555,""
178651,-16.70679,-43.86295,""
177226,-16.689093,-43.878086,""
178027,-16.723095,-43.846427,""
177644,-16.714703,-43.880641,""
177289,-16.697759,-43.869711,""
178511,-16.695852,-43.872755,""
180400,-16.696955,-43.87343,""
179661,-16.723239,-43.864312,""
177496,-16.718645,-43.882495,""
178732,-16.695258,-43.849368,""
179401,-16.725151,-43.872786,""
177685,-16.671728,-43.857113,""
179525,-16.695857,-43.870668,""
180320,-16.692426,-43.877994,""
178743,-16.716355,-43.855065,""
177303,-16.724229,-43.864279,""
179171,-16.719495,-43.865254,""
179097,-16.725542,-43.862248,""
179648,-16.718799,-43.862598,""
180061,-16.67601,-43.873439,""
179101,-16.720933,-43.864835,""
179259,-16.721557,-43.843782,""
179246,-16.669569,-43.854917,""
180025,-16.716964,-43.875339,""
179920,-16.726958,-43.875789,""
177338,-16.721983,-43.864141,""
179161,-16.726106,-43.866993,""
180313,-16.689879,-43.866032,""
179123,-16.723335,-43.863443,""
179618,-16.718746,-43.863799,""
179287,-16.709531,-43.865092,""
179612,-16.702306,-43.855926,""
177306,-16.723245,-43.865867,""
178557,-16.70373,-43.87289,""
178664,-16.713743,-43.853889,""
179701,-16.722342,-43.864119,""
179283,-16.707809,-43.853877,""
177448,-16.723286,-43.865456,""
178536,-16.716103,-43.869877,""
179203,-16.721302,-43.863293,""
178248,-16.700328,-43.879383,""
180303,-16.719165,-43.862212,""
179218,-16.713871,-43.853948,""
180026,-16.678949,-43.876383,""
180095,-16.713058,-43.887112,""
179931,-16.669722,-43.853373,""
178590,-16.699576,-43.874457,""
177322,-16.714026,-43.854405,""
179157,-16.723028,-43.867676,""
179683,-16.717001,-43.850198,""
179266,-16.690169,-43.859239,""
179453,-16.721504,-43.861811,""
179565,-16.704262,-43.870929,""
179096,-16.725877,-43.868486,""
179180,-16.724734,-43.871347,""
180246,-16.722991,-43.871871,""
179563,-16.704164,-43.854748,""
179517,-16.702168,-43.871526,""
178544,-16.724636,-43.875483,""
178225,-16.717588,-43.863159,""
179103,-16.722394,-43.866361,""
178569,-16.699426,-43.870891,""
177343,-16.717555,-43.864934,""
179450,-16.700435,-43.847622,""
179622,-16.704249,-43.861568,""
179857,-16.721984,-43.862065,""
179918,-16.721834,-43.85915,""
179623,-16.697573,-43.849905,""
179937,-16.701817,-43.878842,""
180117,-16.668393,-43.854983,""
178723,-16.696977,-43.853652,""
180224,-16.724643,-43.870975,""
178570,-16.699286,-43.870674,""
178659,-16.717488,-43.863293,""
179098,-16.722672,-43.865398,""
179343,-16.687209,-43.874377,""
178548,-16.690729,-43.877031,""
180408,-16.693974,-43.848604,""
178634,-16.697625,-43.875085,""
180154,-16.718935,-43.859522,""
179558,-16.722373,-43.864427,""
179162,-16.722805,-43.865727,""
178551,-16.692564,-43.878726,""
177373,-16.728121,-43.871767,""
180394,-16.690319,-43.866133,""
179819,-16.723063,-43.853662,""
178524,-16.701902,-43.870296,""
179173,-16.71681,-43.86572,""
179132,-16.722886,-43.850279,""
179619,-16.713897,-43.883049,""
177359,-16.712307,-43.850695,""
179185,-16.716481,-43.865042,""
179365,-16.715749,-43.887438,""
179120,-16.705254,-43.862488,""
178629,-16.691068,-43.876129,""
180169,-16.717255,-43.865798,""
179153,-16.697365,-43.849822,""
178739,-16.710087,-43.853706,""
177965,-16.668992,-43.854426,""
178521,-16.699178,-43.873477,""
177439,-16.710742,-43.844411,""
178158,-16.686818,-43.878579,""
177509,-16.694518,-43.853403,""
179211,-16.717688,-43.864816,""
177483,-16.667905,-43.855058,""
179276,-16.712674,-43.863884,""
178527,-16.693721,-43.876066,""
180037,-16.720271,-43.848185,""
178549,-16.691527,-43.877995,""
180087,-16.719662,-43.848007,""
178245,-16.70326,-43.8729,""
179510,-16.701079,-43.853367,""
179244,-16.670135,-43.855469,""
178716,-16.698176,-43.852402,""
179196,-16.720862,-43.86316,""
179707,-16.724623,-43.871188,""
178616,-16.693072,-43.874542,""
179693,-16.697619,-43.870751,""
178668,-16.698911,-43.848437,""
179570,-16.726443,-43.871252,""
177972,-16.699133,-43.850357,""
179214,-16.725483,-43.871025,""
179627,-16.714203,-43.886747,""
177208,-16.724335,-43.863428,""
179607,-16.692692,-43.872915,""
179829,-16.668268,-43.853919,""
179172,-16.717035,-43.865756,""
178508,-16.691891,-43.877844,""
179615,-16.713056,-43.846102,""
177478,-16.723087,-43.881515,""
180344,-16.715193,-43.886703,""
177279,-16.711306,-43.854053,""
178641,-16.716978,-43.86764,""
179697,-16.718644,-43.885402,""
177422,-16.713995,-43.849783,""
177333,-16.724134,-43.870627,""
180295,-16.702945,-43.867933,""
178096,-16.676626,-43.874461,""
178730,-16.712873,-43.845618,""
179353,-16.714808,-43.846394,""
177466,-16.698471,-43.873096,""
178555,-16.690337,-43.876244,""
179836,-16.720476,-43.849046,""
178535,-16.697248,-43.873806,""
179268,-16.669413,-43.853276,""
177643,-16.717572,-43.850882,""
180371,-16.727385,-43.866743,""
177307,-16.717279,-43.865511,""
180092,-16.726937,-43.867228,""
177340,-16.669544,-43.854803,""
179993,-16.720153,-43.863988,""
179131,-16.696037,-43.849958,""
178665,-16.717261,-43.858955,""
179834,-16.716807,-43.865475,""
179940,-16.709452,-43.865265,""
177578,-16.716633,-43.864901,""
179981,-16.701774,-43.848662,""
177922,-16.671478,-43.855595,""
179814,-16.711789,-43.846412,""
177308,-16.714467,-43.855085,""
179573,-16.715033,-43.852356,""
178539,-16.684415,-43.877631,""
179533,-16.714646,-43.852799,""
179160,-16.726848,-43.863453,""
179551,-16.719844,-43.883339,""
180226,-16.703017,-43.852392,""
177449,-16.722553,-43.843656,""
178684,-16.717765,-43.863143,""
180283,-16.677306,-43.875728,""
179159,-16.725225,-43.872601,""
180267,-16.721163,-43.85352,""
180043,-16.701181,-43.875922,""
179116,-16.721976,-43.862689,""
178686,-16.703329,-43.855182,""
180318,-16.723883,-43.850762,""
178726,-16.698853,-43.849403,""
179134,-16.709863,-43.853998,""
179115,-16.721509,-43.863017,""
179341,-16.687564,-43.880908,""
180175,-16.708452,-43.85648,""
177436,-16.701102,-43.856012,""
179608,-16.719086,-43.884305,""
180158,-16.728083,-43.881033,""
177363,-16.726603,-43.881172,""
178655,-16.718391,-43.863152,""
178525,-16.687636,-43.876733,""
177603,-16.678331,-43.876611,""
178656,-16.717945,-43.86326,""
177291,-16.717673,-43.86481,""
180212,-16.670034,-43.856565,""
178512,-16.701395,-43.872921,""
178715,-16.699538,-43.860506,""
179970,-16.669909,-43.854277,""
178580,-16.698085,-43.878951,""
177511,-16.713776,-43.853888,""
180419,-16.70236,-43.873727,""
179837,-16.706728,-43.861317,""
179597,-16.711868,-43.882009,""
179267,-16.684238,-43.864176,""
178690,-16.704358,-43.854016,""
179816,-16.726235,-43.872089,""
178721,-16.698955,-43.854822,""
179576,-16.721606,-43.863307,""
178250,-16.694204,-43.874183,""
179591,-16.713238,-43.84917,""
178212,-16.688912,-43.880183,""
178573,-16.700736,-43.871695,""
180000,-16.718867,-43.884348,""
179756,-16.72663,-43.87641,""
179592,-16.710833,-43.845096,""
