"FROM", "TO", "PREV", "LOG", "LAT"
166646,166648,166647,-38.5553,-3.77966
166646,166647,109288,-38.5556,-3.78045
166646,109288,83979,-38.5557,-3.78069
166646,83979,115898,-38.5559,-3.78105
166646,115898,100174,-38.5562,-3.7819
166646,100174,12933,-38.5554,-3.78234
166646,12933,13976,-38.5548,-3.78276
166646,13976,85088,-38.5546,-3.78294
166646,85088,42837,-38.5545,-3.78305
166646,42837,42833,-38.5539,-3.78385
166646,42833,244,-38.5534,-3.78455
166646,244,56312,-38.5527,-3.78502
166646,56312,100215,-38.5518,-3.78549
166646,100215,102727,-38.5515,-3.78564
166646,102727,102722,-38.5513,-3.78577
166646,102722,99462,-38.5509,-3.78595
166646,99462,102731,-38.5505,-3.78617
166646,102731,7733,-38.5502,-3.78636
166646,7733,135324,-38.5499,-3.78652
166646,135324,107961,-38.5497,-3.78662
166646,107961,77469,-38.5491,-3.78695
166646,77469,77470,-38.5486,-3.78716
166646,77470,106905,-38.5486,-3.7872
166646,106905,11779,-38.548,-3.78749
166646,11779,11780,-38.5479,-3.78754
166646,11780,61565,-38.5473,-3.78786
166646,61565,61570,-38.5466,-3.78813
166646,61570,29284,-38.546,-3.78837
166646,29284,29286,-38.5452,-3.78862
166646,29286,84323,-38.5449,-3.78873
166646,84323,112061,-38.5446,-3.78886
166646,112061,28459,-38.5439,-3.78911
166646,28459,28460,-38.5431,-3.78935
166646,28460,52532,-38.5429,-3.78943
166646,52532,52533,-38.5422,-3.7897
166646,52533,23052,-38.5415,-3.78994
166646,23052,23662,-38.5413,-3.78999
166646,23662,23718,-38.5407,-3.7902
166646,23718,23719,-38.54,-3.79044
166646,23719,48427,-38.5393,-3.7907
166646,48427,133142,-38.5391,-3.79076
166646,133142,31000,-38.5386,-3.79095
166646,31000,28807,-38.5378,-3.7912
166646,28807,28810,-38.5371,-3.7915
166646,28810,41113,-38.5364,-3.79194
166646,41113,62265,-38.5359,-3.79233
166646,62265,112397,-38.5354,-3.79267
166646,112397,23710,-38.535,-3.79305
166646,23710,1781,-38.5347,-3.7935
166646,1781,30187,-38.5334,-3.79469
166646,30187,93137,-38.5322,-3.79583
166646,93137,744,-38.5317,-3.79697
166646,744,30882,-38.5314,-3.7975
166646,30882,55841,-38.5314,-3.79756
166646,55841,55842,-38.5314,-3.79762
166646,55842,54415,-38.5307,-3.79931
166646,54415,54416,-38.5305,-3.79998
166646,54416,28780,-38.5303,-3.80033
166646,28780,59939,-38.5301,-3.80097
166646,59939,29525,-38.5301,-3.80106
166646,29525,29526,-38.53,-3.80118
166646,29526,56712,-38.5295,-3.80196
166646,56712,23876,-38.5288,-3.80269
166646,23876,57646,-38.5286,-3.80293
166646,57646,53912,-38.5286,-3.80298
166646,53912,92482,-38.5284,-3.80318
166646,92482,92483,-38.5282,-3.8034
166646,92483,110429,-38.5264,-3.80528
166646,110429,166504,-38.5264,-3.80534
166646,166504,56181,-38.5263,-3.80547
166646,56181,166591,-38.5259,-3.80583
166646,166591,56137,-38.5257,-3.80609
166646,56137,56142,-38.5253,-3.80658
166646,56142,56130,-38.5251,-3.80684
166646,56130,30811,-38.5249,-3.80677
166646,30811,30813,-38.5248,-3.80677
166646,30813,56129,-38.5243,-3.80716
166646,56129,56184,-38.5243,-3.80723
166646,56184,29609,-38.5243,-3.80735
166646,29609,55186,-38.5244,-3.80759
166646,55186,56131,-38.5245,-3.80768
166646,56131,56136,-38.5248,-3.80779
166646,56136,21732,-38.5249,-3.80778
166646,21732,21740,-38.5253,-3.80792
166646,21740,21748,-38.5257,-3.80835
166646,21748,39173,-38.5261,-3.80881
166646,39173,101399,-38.5264,-3.80922
166646,101399,60123,-38.5267,-3.80959
166646,60123,72471,-38.5268,-3.80975
166646,72471,72472,-38.527,-3.80997
166646,72472,98696,-38.5279,-3.81131
166646,98696,75669,-38.5286,-3.81223
166646,75669,75671,-38.5293,-3.81318
166646,75671,110857,-38.5293,-3.81321
166646,110857,111060,-38.5293,-3.81325
166646,111060,40679,-38.5297,-3.8138
166646,40679,135480,-38.5308,-3.81528
166646,135480,39083,-38.5316,-3.81633
166646,39083,134807,-38.5322,-3.81722
166646,134807,156721,-38.5333,-3.81869
166646,156721,150495,-38.5336,-3.81911
166646,150495,90226,-38.5348,-3.82075
166646,90226,47326,-38.5352,-3.82133
166646,47326,47327,-38.5353,-3.82144
166646,47327,112883,-38.5353,-3.82139
166646,112883,56536,-38.5354,-3.82135
166646,56536,134692,-38.5354,-3.8213
166646,134692,20429,-38.5353,-3.82126
166646,20429,20427,-38.5349,-3.82068
