"TIME", "DISTANCE", "CLIENT_1_EID", "CLIENT_1_LAT", "CLIENT_1_LON", "CLIENT_2_EID", "CLIENT_2_LAT", "CLIENT_2_LON"
0.2455996188, 11.05800638, 1, -3.820394, -38.534866, 4349, -3.7394426, -38.49831
0.2422403711, 12.60714143, 1, -3.820394, -38.534866, 4347, -3.721759675, -38.51921
0.2421836938, 12.60515773, 1, -3.820394, -38.534866, 4346, -3.72188167, -38.51977408
0.2723424398, 12.34042406, 1, -3.820394, -38.534866, 4345, -3.726700088, -38.49704361
0.29950405, 13.34187479, 1, -3.820394, -38.534866, 4344, -3.723440162, -38.48743805
0.2702413972, 12.24587715, 1, -3.820394, -38.534866, 4343, -3.735756448, -38.48720354
0.185630806, 9.173011573, 1, -3.820394, -38.534866, 4342, -3.755947876, -38.52748579
0.236201949, 10.69535239, 1, -3.820394, -38.534866, 4341, -3.7437878, -38.495094
0.2700635787, 12.23787532, 1, -3.820394, -38.534866, 4340, -3.73577786, -38.48725719
0.2075703769, 9.726358767, 1, -3.820394, -38.534866, 4336, -3.749418847, -38.51548417
0.3035472339, 13.36759959, 1, -3.820394, -38.534866, 4335, -3.736842, -38.47327
0.2867369922, 12.91791002, 1, -3.820394, -38.534866, 4334, -3.725058751, -38.49958842
0.2661042117, 13.67555365, 1, -3.820394, -38.534866, 4333, -3.721056977, -38.51096122
0.2440583557, 12.62809978, 1, -3.820394, -38.534866, 4332, -3.7241933, -38.51795
0.2661173393, 13.31385283, 1, -3.820394, -38.534866, 4331, -3.72409496, -38.51269949
0.2284940811, 10.2185081, 1, -3.820394, -38.534866, 4330, -3.7465324, -38.503956
0.2569153349, 11.59896089, 1, -3.820394, -38.534866, 4329, -3.7371972, -38.491894
0.2623262134, 13.12202924, 1, -3.820394, -38.534866, 4328, -3.727326, -38.512604
0.300269566, 13.59714472, 1, -3.820394, -38.534866, 4327, -3.735572752, -38.47276172
0.2546204278, 13.04373864, 1, -3.820394, -38.534866, 4326, -3.732328329, -38.51048758
0.2645637147, 13.59310291, 1, -3.820394, -38.534866, 4325, -3.7217414, -38.51247
0.2494045243, 12.49310225, 1, -3.820394, -38.534866, 4318, -3.736652561, -38.51446058
0.2058233503, 9.959998686, 1, -3.820394, -38.534866, 4317, -3.7459671, -38.528343
0.2815028789, 12.6631916, 1, -3.820394, -38.534866, 4316, -3.729484588, -38.48877917
0.1932116293, 9.630347623, 1, -3.820394, -38.534866, 4315, -3.7493057, -38.52489
0.2592737941, 13.10175984, 1, -3.820394, -38.534866, 4314, -3.729859329, -38.51225186
0.3255612977, 14.44433852, 1, -3.820394, -38.534866, 4313, -3.740640547, -38.47068693
0.2352934727, 10.4815757, 1, -3.820394, -38.534866, 4312, -3.74539852, -38.50354114
0.2771585367, 12.48579962, 1, -3.820394, -38.534866, 4308, -3.730926164, -38.49016777
0.2818440956, 13.97399595, 1, -3.820394, -38.534866, 4306, -3.7259054, -38.507465
0.2084218138, 9.756159063, 1, -3.820394, -38.534866, 4304, -3.749521235, -38.51575219
0.3007553598, 13.61900545, 1, -3.820394, -38.534866, 4296, -3.735630134, -38.47246926
0.2427116631, 12.62363665, 1, -3.820394, -38.534866, 4295, -3.7219121, -38.51897
0.28538774, 12.81279952, 1, -3.820394, -38.534866, 4294, -3.7274108, -38.48917
0.246722049, 11.18750647, 1, -3.820394, -38.534866, 4293, -3.7358768, -38.49911
0.1963545471, 9.583488342, 1, -3.820394, -38.534866, 4292, -3.753622775, -38.52822942
0.2442597511, 12.67781973, 1, -3.820394, -38.534866, 4291, -3.722009049, -38.51891661
0.1989716683, 9.81034441, 1, -3.820394, -38.534866, 4289, -3.7484326, -38.530293
0.2550486288, 11.46796174, 1, -3.820394, -38.534866, 4287, -3.734600105, -38.50013744
0.2713322143, 12.23087389, 1, -3.820394, -38.534866, 4285, -3.738285228, -38.48229553
0.2574750765, 11.61855184, 1, -3.820394, -38.534866, 4283, -3.7374442, -38.492294
0.2630052529, 13.37322341, 1, -3.820394, -38.534866, 4400, -3.719779246, -38.5166849
0.247168119, 11.11193279, 1, -3.820394, -38.534866, 4395, -3.739225, -38.497368
0.2372286127, 12.26110696, 1, -3.820394, -38.534866, 4393, -3.7302723, -38.516663
0.2906406673, 13.01052976, 1, -3.820394, -38.534866, 4391, -3.740368, -38.475301
0.2757985615, 12.35910493, 1, -3.820394, -38.534866, 4390, -3.733193, -38.489241
0.2577963871, 11.58549771, 1, -3.820394, -38.534866, 4389, -3.7365353, -38.495155
0.2357027954, 12.28704683, 1, -3.820394, -38.534866, 4388, -3.724547031, -38.5200774
0.2350623398, 12.26463088, 1, -3.820394, -38.534866, 4387, -3.724478, -38.520036
0.2439754866, 12.71697379, 1, -3.820394, -38.534866, 4386, -3.720996706, -38.51920607
0.26150696, 12.26311254, 1, -3.820394, -38.534866, 4385, -3.732149, -38.50819
0.2344996122, 10.59380194, 4349, -3.7394426, -38.49831, 1, -3.820394, -38.534866
0.09340594374, 4.324474741, 4349, -3.7394426, -38.49831, 4347, -3.721759675, -38.51921
0.09334926651, 4.322491043, 4349, -3.7394426, -38.49831, 4346, -3.72188167, -38.51977408
0.04493017388, 2.063177256, 4349, -3.7394426, -38.49831, 4345, -3.726700088, -38.49704361
0.07146495843, 2.938117987, 4349, -3.7394426, -38.49831, 4344, -3.723440162, -38.48743805
0.05283243431, 2.146970391, 4349, -3.7394426, -38.49831, 4343, -3.735756448, -38.48720354
0.09969565867, 4.562905062, 4349, -3.7394426, -38.49831, 4342, -3.755947876, -38.52748579
0.02037228747, 0.9340456417, 4349, -3.7394426, -38.49831, 4341, -3.7437878, -38.495094
0.05265461579, 2.138968559, 4349, -3.7394426, -38.49831, 4340, -3.73577786, -38.48725719
0.07748015562, 3.327032155, 4349, -3.7394426, -38.49831, 4336, -3.749418847, -38.51548417
0.08885100095, 3.660042857, 4349, -3.7394426, -38.49831, 4335, -3.736842, -38.47327
0.05932472632, 2.640663223, 4349, -3.7394426, -38.49831, 4334, -3.725058751, -38.49958842
0.08425444857, 3.79555685, 4349, -3.7394426, -38.49831, 4333, -3.721056977, -38.51096122
0.09522392837, 4.345433098, 4349, -3.7394426, -38.49831, 4332, -3.7241933, -38.51795
0.08183969629, 3.524256073, 4349, -3.7394426, -38.49831, 4331, -3.72409496, -38.51269949
0.03394714991, 1.452661367, 4349, -3.7394426, -38.49831, 4330, -3.7465324, -38.503956
0.02773157736, 1.143694099, 4349, -3.7394426, -38.49831, 4329, -3.7371972, -38.491894
0.07262044308, 3.087792479, 4349, -3.7394426, -38.49831, 4328, -3.727326, -38.512604
0.08553336496, 3.792017991, 4349, -3.7394426, -38.49831, 4327, -3.735572752, -38.47276172
0.05885014946, 2.280521858, 4349, -3.7394426, -38.49831, 4326, -3.732328329, -38.51048758
0.08842061845, 3.969906129, 4349, -3.7394426, -38.49831, 4325, -3.7217414, -38.51247
0.04865346758, 2.230725477, 4349, -3.7394426, -38.49831, 4318, -3.736652561, -38.51446058
0.1046799658, 4.840404692, 4349, -3.7394426, -38.49831, 4317, -3.7459671, -38.528343
0.05231912131, 2.207924816, 4349, -3.7394426, -38.49831, 4316, -3.729484588, -38.48877917
0.1018675372, 4.701931098, 4349, -3.7394426, -38.49831, 4315, -3.7493057, -38.52489
0.06956802381, 3.067523078, 4349, -3.7394426, -38.49831, 4314, -3.729859329, -38.51225186
0.1108650648, 4.736781793, 4349, -3.7394426, -38.49831, 4313, -3.740640547, -38.47068693
0.04101825626, 1.725238972, 4349, -3.7394426, -38.49831, 4312, -3.74539852, -38.50354114
0.04797477915, 2.030532836, 4349, -3.7394426, -38.49831, 4308, -3.730926164, -38.49016777
0.07536781526, 3.253109111, 4349, -3.7394426, -38.49831, 4306, -3.7259054, -38.507465
0.07833159254, 3.356832451, 4349, -3.7394426, -38.49831, 4304, -3.749521235, -38.51575219
0.08601915876, 3.813878713, 4349, -3.7394426, -38.49831, 4296, -3.735630134, -38.47246926
0.09387723584, 4.340969965, 4349, -3.7394426, -38.49831, 4295, -3.7219121, -38.51897
0.05620398238, 2.357532734, 4349, -3.7394426, -38.49831, 4294, -3.7274108, -38.48917
0.01930978306, 0.9102596692, 4349, -3.7394426, -38.49831, 4293, -3.7358768, -38.49911
0.1051943996, 4.665981819, 4349, -3.7394426, -38.49831, 4292, -3.753622775, -38.52822942
0.09542532376, 4.395153042, 4349, -3.7394426, -38.49831, 4291, -3.722009049, -38.51891661
0.1078115207, 4.892837887, 4349, -3.7394426, -38.49831, 4289, -3.7484326, -38.530293
0.02763636284, 1.190714938, 4349, -3.7394426, -38.49831, 4287, -3.734600105, -38.50013744
0.05663334661, 2.427427164, 4349, -3.7394426, -38.49831, 4285, -3.738285228, -38.48229553
0.02829131894, 1.163285056, 4349, -3.7394426, -38.49831, 4283, -3.7374442, -38.492294
0.1141708255, 5.090556724, 4349, -3.7394426, -38.49831, 4400, -3.719779246, -38.5166849
0.009080741533, 0.3878259612, 4349, -3.7394426, -38.49831, 4395, -3.739225, -38.497368
0.07359865327, 3.305810255, 4349, -3.7394426, -38.49831, 4393, -3.7302723, -38.516663
0.07594443441, 3.302973025, 4349, -3.7394426, -38.49831, 4391, -3.740368, -38.475301
0.04661480396, 1.903838145, 4349, -3.7394426, -38.49831, 4390, -3.733193, -38.489241
0.02273373986, 0.8656808939, 4349, -3.7394426, -38.49831, 4389, -3.7365353, -38.495155
0.08686836811, 4.004380145, 4349, -3.7394426, -38.49831, 4388, -3.724547031, -38.5200774
0.08622791245, 3.9819642, 4349, -3.7394426, -38.49831, 4387, -3.724478, -38.520036
0.09514105931, 4.434307106, 4349, -3.7394426, -38.49831, 4386, -3.720996706, -38.51920607
0.04845390972, 2.190915753, 4349, -3.7394426, -38.49831, 4385, -3.732149, -38.50819
0.2534114474, 12.9443843, 4347, -3.721759675, -38.51921, 1, -3.820394, -38.534866
0.1013625013, 4.233992002, 4347, -3.721759675, -38.51921, 4349, -3.7394426, -38.49831
0.004293754064, 0.2202813886, 4347, -3.721759675, -38.51921, 4346, -3.72188167, -38.51977408
0.07214733381, 3.304877868, 4347, -3.721759675, -38.51921, 4345, -3.726700088, -38.49704361
0.09930894397, 4.306328607, 4347, -3.721759675, -38.51921, 4344, -3.723440162, -38.48743805
0.1165975009, 4.831181071, 4347, -3.721759675, -38.51921, 4343, -3.735756448, -38.48720354
0.09262143723, 4.912797304, 4347, -3.721759675, -38.51921, 4342, -3.755947876, -38.52748579
0.1181289922, 5.048308088, 4347, -3.721759675, -38.51921, 4341, -3.7437878, -38.495094
0.1164196824, 4.823179239, 4347, -3.721759675, -38.51921, 4340, -3.73577786, -38.48725719
0.1078085868, 4.61600445, 4347, -3.721759675, -38.51921, 4336, -3.749418847, -38.51548417
0.1497510205, 6.218503532, 4347, -3.721759675, -38.51921, 4335, -3.736842, -38.47327
0.06200004377, 2.684583767, 4347, -3.721759675, -38.51921, 4334, -3.725058751, -38.49958842
0.028214272, 1.290677307, 4347, -3.721759675, -38.51921, 4333, -3.721056977, -38.51096122
0.01502243299, 0.5957851596, 4347, -3.721759675, -38.51921, 4332, -3.7241933, -38.51795
0.03826373502, 1.367148228, 4347, -3.721759675, -38.51921, 4331, -3.72409496, -38.51269949
0.1119961227, 5.227123786, 4347, -3.721759675, -38.51921, 4330, -3.7465324, -38.503956
0.1073349932, 4.807164829, 4347, -3.721759675, -38.51921, 4329, -3.7371972, -38.491894
0.05028742724, 1.74349469, 4347, -3.721759675, -38.51921, 4328, -3.727326, -38.512604
0.1435954791, 6.040998653, 4347, -3.721759675, -38.51921, 4327, -3.735572752, -38.47276172
