"FROM", "TO", "PREV", "LOG", "LAT"
166652,166646,166645,-38.5348,-3.82047
166652,166645,75321,-38.5338,-3.81902
166652,75321,135281,-38.5333,-3.81843
166652,135281,158815,-38.5324,-3.81722
166652,158815,39082,-38.5317,-3.81624
166652,39082,155619,-38.5309,-3.81518
166652,155619,112568,-38.5299,-3.8137
166652,112568,21296,-38.5294,-3.8131
166652,21296,21294,-38.5287,-3.81215
166652,21294,53588,-38.5281,-3.81136
166652,53588,105478,-38.5271,-3.80992
166652,105478,105476,-38.5269,-3.80967
166652,105476,42240,-38.5268,-3.80951
166652,42240,65734,-38.5265,-3.80912
166652,65734,12806,-38.5262,-3.80872
166652,12806,21759,-38.5258,-3.80821
166652,21759,21749,-38.5253,-3.80737
166652,21749,48614,-38.5254,-3.80731
166652,48614,56149,-38.5254,-3.80727
166652,56149,13709,-38.5254,-3.80722
166652,13709,56170,-38.5253,-3.80711
166652,56170,29771,-38.5252,-3.80692
166652,29771,56130,-38.5251,-3.80684
166652,56130,30811,-38.5249,-3.80677
166652,30811,30813,-38.5248,-3.80677
166652,30813,155464,-38.5232,-3.80506
166652,155464,155463,-38.5229,-3.80474
166652,155463,155895,-38.5226,-3.8044
166652,155895,131151,-38.5226,-3.80436
166652,131151,22133,-38.5222,-3.80392
166652,22133,92754,-38.522,-3.80367
166652,92754,145361,-38.522,-3.80363
166652,145361,98448,-38.522,-3.80359
166652,98448,75992,-38.5209,-3.80227
166652,75992,75991,-38.5208,-3.80212
166652,75991,92909,-38.5207,-3.80204
166652,92909,92910,-38.5206,-3.80183
166652,92910,230,-38.5201,-3.80119
166652,230,27997,-38.5195,-3.80042
166652,27997,27993,-38.5192,-3.79941
166652,27993,28973,-38.519,-3.79871
166652,28973,28972,-38.5189,-3.79801
166652,28972,72664,-38.5187,-3.79728
166652,72664,80900,-38.5186,-3.79659
166652,80900,18782,-38.5184,-3.7959
166652,18782,18781,-38.5183,-3.79523
166652,18781,62613,-38.5183,-3.79515
166652,62613,43302,-38.5181,-3.79453
166652,43302,43301,-38.5179,-3.79372
166652,43301,72366,-38.5178,-3.79303
166652,72366,47302,-38.5177,-3.79264
166652,47302,47301,-38.5176,-3.79231
166652,47301,62106,-38.5175,-3.79164
166652,62106,135087,-38.5174,-3.79091
166652,135087,109859,-38.5173,-3.79031
166652,109859,101276,-38.5173,-3.79013
166652,101276,66533,-38.5173,-3.78971
166652,66533,132079,-38.5172,-3.78955
166652,132079,75326,-38.5172,-3.78893
166652,75326,75325,-38.5173,-3.78745
166652,75325,150525,-38.5173,-3.7873
166652,150525,120188,-38.5173,-3.78695
166652,120188,63062,-38.5172,-3.78672
166652,63062,85566,-38.5172,-3.78642
166652,85566,104845,-38.5172,-3.78611
166652,104845,26310,-38.5172,-3.78577
166652,26310,26308,-38.5171,-3.78522
166652,26308,26312,-38.5171,-3.78505
166652,26312,5910,-38.5171,-3.78498
166652,5910,85905,-38.5172,-3.78431
166652,85905,106169,-38.5171,-3.78387
166652,106169,147790,-38.517,-3.78375
166652,147790,152510,-38.5168,-3.78322
166652,152510,24037,-38.5167,-3.78315
166652,24037,114720,-38.5165,-3.78262
166652,114720,56782,-38.5162,-3.78172
166652,56782,79716,-38.516,-3.78124
166652,79716,91495,-38.5159,-3.78091
166652,91495,100218,-38.5155,-3.78001
166652,100218,77142,-38.5154,-3.77982
166652,77142,73109,-38.5148,-3.77934
166652,73109,77225,-38.5147,-3.77929
166652,77225,22722,-38.5145,-3.77921
166652,22722,129070,-38.5144,-3.77918
166652,129070,76111,-38.5136,-3.77855
166652,76111,102702,-38.5137,-3.77831
166652,102702,102704,-38.5137,-3.77807
166652,102704,132701,-38.5137,-3.77749
166652,132701,25116,-38.5135,-3.77708
166652,25116,44152,-38.5133,-3.77671
166652,44152,43826,-38.5132,-3.77626
166652,43826,43824,-38.5131,-3.77585
166652,43824,22949,-38.5131,-3.77546
166652,22949,41183,-38.513,-3.77497
166652,41183,41739,-38.513,-3.77483
166652,41739,5826,-38.513,-3.77468
166652,5826,112226,-38.5129,-3.7745
166652,112226,87495,-38.5129,-3.77407
166652,87495,56865,-38.5128,-3.77377
166652,56865,99655,-38.5128,-3.77368
166652,99655,99654,-38.5128,-3.77359
166652,99654,62197,-38.5126,-3.77281
166652,62197,47810,-38.5124,-3.77257
166652,47810,47804,-38.5119,-3.77199
166652,47804,22887,-38.5116,-3.77175
166652,22887,33918,-38.511,-3.77107
166652,33918,26598,-38.5109,-3.77073
166652,26598,26597,-38.5106,-3.77
166652,26597,89883,-38.5106,-3.76985
166652,89883,14445,-38.5104,-3.76953
166652,14445,43846,-38.5101,-3.76878
166652,43846,32184,-38.5095,-3.76765
166652,32184,24707,-38.5091,-3.7667
166652,24707,24703,-38.509,-3.76488
166652,24703,15155,-38.5089,-3.76401
166652,15155,15157,-38.5089,-3.76393
166652,15157,137306,-38.5088,-3.76352
166652,137306,118646,-38.5087,-3.76322
166652,118646,118645,-38.5085,-3.76291
166652,118645,144115,-38.5085,-3.76283
166652,144115,144113,-38.5083,-3.76233
166652,144113,113407,-38.5083,-3.76215
166652,113407,113396,-38.5078,-3.76158
166652,113396,152513,-38.5077,-3.76156
166652,152513,88869,-38.5077,-3.76154
166652,88869,47090,-38.5055,-3.76106
166652,47090,47107,-38.5046,-3.75969
166652,47107,65112,-38.5046,-3.75919
166652,65112,84583,-38.5046,-3.75883
166652,84583,87029,-38.5046,-3.75841
166652,87029,43239,-38.5046,-3.75772
166652,43239,10570,-38.5046,-3.7572
166652,10570,10571,-38.5046,-3.7566
166652,10571,26584,-38.5046,-3.75559
166652,26584,150931,-38.5046,-3.75522
166652,150931,133686,-38.5042,-3.75403
166652,133686,133679,-38.5039,-3.75321
166652,133679,24694,-38.5038,-3.75298
166652,24694,59685,-38.5035,-3.75211
166652,59685,59684,-38.5033,-3.75164
166652,59684,59683,-38.5033,-3.75154
166652,59683,24798,-38.5033,-3.75146
166652,24798,24797,-38.5032,-3.75136
166652,24797,22429,-38.503,-3.75068
166652,22429,13335,-38.5028,-3.74999
166652,13335,13336,-38.5026,-3.74933
166652,13336,6834,-38.5022,-3.74827
166652,6834,24759,-38.502,-3.74752
166652,24759,127310,-38.5019,-3.74721
166652,127310,98766,-38.5017,-3.7466
166652,98766,23758,-38.5014,-3.74572
166652,23758,28117,-38.5013,-3.74541
166652,28117,23841,-38.5012,-3.74505
166652,23841,23842,-38.5009,-3.74405
166652,23842,23846,-38.5006,-3.7431
166652,23846,1315,-38.5003,-3.74211
166652,1315,44150,-38.5,-3.74117
166652,44150,19225,-38.4996,-3.74017
166652,19225,26596,-38.4996,-3.7401
166652,26596,26594,-38.4993,-3.73924
166652,26594,24716,-38.4993,-3.73901
166652,24716,23861,-38.499,-3.73819
166652,23861,23862,-38.4987,-3.7372
166652,23862,2349,-38.4984,-3.73623
166652,2349,14878,-38.4984,-3.73618
166652,14878,42414,-38.498,-3.7352
166652,42414,23880,-38.4977,-3.73422
166652,23880,48115,-38.4976,-3.73372
166652,48115,70185,-38.4976,-3.73364
166652,70185,104009,-38.4978,-3.73314
166652,104009,107577,-38.4978,-3.73305
166652,107577,107566,-38.4973,-3.73283
166652,107566,93453,-38.4973,-3.73284
166652,93453,87814,-38.4973,-3.73272
166652,87814,47973,-38.4971,-3.73224
166652,47973,47972,-38.4968,-3.73122
166652,47972,43976,-38.4965,-3.73027
166652,43976,75546,-38.4961,-3.7293
166652,75546,75547,-38.4961,-3.72922
166652,75547,7135,-38.4958,-3.72833
166652,7135,5538,-38.4955,-3.72735
166652,5538,5544,-38.4955,-3.72723
166652,5544,5541,-38.4954,-3.72726
166652,5541,99207,-38.4954,-3.72726
166652,99207,67247,-38.4953,-3.72725
166652,67247,67250,-38.4944,-3.72712
166652,67250,44822,-38.4932,-3.72693
166652,44822,23909,-38.4932,-3.72702
166652,23909,23912,-38.4933,-3.72717
166652,23912,7618,-38.4933,-3.7273
166652,7618,26652,-38.4935,-3.72789
166652,26652,30340,-38.4935,-3.72797
166652,30340,166651,-38.4936,-3.72811
166652,166651,166652,-38.4937,-3.72808
166652,166648,166647,-38.5121,-3.75602
166652,166647,75975,-38.5121,-3.75591
166652,75975,72459,-38.5112,-3.75584
166652,72459,25281,-38.5105,-3.75577
166652,25281,48165,-38.5106,-3.75506
166652,48165,38365,-38.5106,-3.75463
166652,38365,83836,-38.5102,-3.75458
166652,83836,67245,-38.5097,-3.75453
166652,67245,44525,-38.5091,-3.75448
166652,44525,138779,-38.5085,-3.75444
166652,138779,31862,-38.5085,-3.75443
166652,31862,80297,-38.5083,-3.75387
166652,80297,47836,-38.5082,-3.75333
166652,47836,23199,-38.5078,-3.75205
166652,23199,24761,-38.5077,-3.75197
166652,24761,62064,-38.5071,-3.75191
166652,62064,111137,-38.5066,-3.75185
166652,111137,101094,-38.5055,-3.75173
166652,101094,70244,-38.5044,-3.75159
166652,70244,48273,-38.5033,-3.75147
166652,48273,24798,-38.5033,-3.75146
166652,166650,166649,-38.5115,-3.72229
166652,166649,166671,-38.5112,-3.72142
166652,166671,22786,-38.511,-3.72091
166652,22786,24679,-38.5105,-3.72109
166652,24679,24673,-38.5095,-3.72156
166652,24673,44608,-38.5093,-3.72165
166652,44608,24770,-38.5085,-3.72206
166652,24770,37461,-38.508,-3.72231
166652,37461,21409,-38.5074,-3.72257
166652,21409,21410,-38.507,-3.72279
166652,21410,21411,-38.5068,-3.72289
166652,21411,141247,-38.5064,-3.72307
166652,141247,149076,-38.5057,-3.72337
166652,149076,28118,-38.5054,-3.72354
166652,28118,28119,-38.5053,-3.72357
166652,28119,7088,-38.5044,-3.72403
166652,7088,102812,-38.504,-3.72421
166652,102812,56515,-38.5034,-3.7245
166652,56515,56517,-38.5033,-3.72451
166652,56517,156746,-38.5033,-3.72452
166652,156746,150783,-38.5033,-3.72453
166652,150783,150782,-38.5026,-3.72484
166652,150782,78156,-38.5023,-3.72497
166652,78156,78153,-38.5017,-3.72525
166652,78153,54136,-38.5013,-3.72537
166652,54136,43556,-38.5003,-3.72569
166652,43556,43555,-38.4994,-3.72599
166652,43555,8320,-38.4984,-3.72631
166652,8320,8319,-38.4974,-3.7266
166652,8319,29109,-38.4974,-3.72661
166652,29109,69449,-38.4964,-3.72694
166652,69449,5544,-38.4955,-3.72723
166652,166654,166653,-38.495,-3.73073
166652,166653,44413,-38.4954,-3.73059
166652,44413,20536,-38.4951,-3.72962
166652,20536,20535,-38.495,-3.72922
166652,20535,20534,-38.4948,-3.72866
166652,20534,220,-38.4945,-3.72767
166652,220,221,-38.4945,-3.72757
166652,221,26652,-38.4935,-3.72789
166652,166656,166655,-38.5283,-3.74596
166652,166655,104184,-38.5284,-3.74557
166652,104184,44211,-38.5284,-3.7455
166652,44211,2373,-38.5285,-3.74436
166652,2373,69226,-38.5285,-3.74422
166652,69226,77474,-38.5281,-3.74312
166652,77474,12188,-38.5277,-3.74308
166652,12188,56545,-38.5268,-3.74297
166652,56545,56546,-38.5259,-3.74286
166652,56546,25050,-38.526,-3.74247
166652,25050,21576,-38.526,-3.74231
166652,21576,21583,-38.526,-3.74166
166652,21583,107134,-38.526,-3.74157
166652,107134,75366,-38.5258,-3.7413
166652,75366,25063,-38.5254,-3.74096
166652,25063,22801,-38.5253,-3.74085
166652,22801,22813,-38.525,-3.74026
166652,22813,43622,-38.5249,-3.73979
166652,43622,43624,-38.5248,-3.7392
166652,43624,50074,-38.5247,-3.73915
166652,50074,50075,-38.5246,-3.73866
166652,50075,25059,-38.5245,-3.73868
166652,25059,72586,-38.5236,-3.73856
166652,72586,93494,-38.5233,-3.73849
166652,93494,80121,-38.5222,-3.73866
166652,80121,80120,-38.5217,-3.73878
166652,80120,4332,-38.5211,-3.73894
166652,4332,24643,-38.52,-3.73926
166652,24643,4804,-38.5199,-3.73893
166652,4804,4805,-38.5196,-3.73825
166652,4805,22967,-38.5194,-3.73834
166652,22967,56849,-38.5186,-3.73857
166652,56849,95551,-38.518,-3.73873
166652,95551,56753,-38.5175,-3.73889
166652,56753,54481,-38.517,-3.73907
166652,54481,22830,-38.5165,-3.73925
166652,22830,23901,-38.5154,-3.73956
166652,23901,1139,-38.5144,-3.73988
166652,1139,22959,-38.5137,-3.74008
166652,22959,22764,-38.5132,-3.74026
166652,22764,66637,-38.5124,-3.74049
166652,66637,3746,-38.5121,-3.7406
166652,3746,44615,-38.511,-3.74094
166652,44615,23067,-38.5101,-3.74121
166652,23067,23068,-38.5099,-3.74128
166652,23068,23075,-38.5093,-3.74147
166652,23075,29971,-38.5089,-3.74162
166652,29971,29969,-38.5088,-3.74164
166652,29969,990,-38.5078,-3.74194
166652,990,91474,-38.5073,-3.7421
166652,91474,67225,-38.5068,-3.74228
166652,67225,24758,-38.5063,-3.74244
166652,24758,24714,-38.5058,-3.74259
166652,24714,24713,-38.5048,-3.74291
166652,24713,24708,-38.5038,-3.74321
166652,24708,24709,-38.5029,-3.74352
166652,24709,57260,-38.5028,-3.74345
166652,57260,113677,-38.5025,-3.74355
166652,113677,44872,-38.5019,-3.74376
166652,44872,112240,-38.5013,-3.74392
166652,112240,23842,-38.5009,-3.74405
166652,166658,166657,-38.4996,-3.72499
166652,166657,98775,-38.5001,-3.72485
166652,98775,43556,-38.5003,-3.72569
166652,166660,166659,-38.5085,-3.74353
166652,166659,116828,-38.5093,-3.74329
166652,116828,773,-38.5094,-3.74328
166652,773,774,-38.5094,-3.74326
166652,774,44602,-38.5093,-3.74298
166652,44602,29970,-38.5092,-3.74249
166652,29970,29971,-38.5089,-3.74162
166652,166662,166661,-38.5169,-3.73388
166652,166661,56191,-38.5168,-3.73374
166652,56191,56190,-38.5168,-3.73368
166652,56190,22588,-38.5165,-3.73261
166652,22588,26024,-38.5162,-3.73181
166652,26024,26023,-38.5161,-3.73121
166652,26023,22628,-38.5158,-3.73053
166652,22628,133691,-38.5155,-3.72922
166652,133691,22834,-38.5154,-3.7291
166652,22834,43279,-38.5153,-3.72912
166652,43279,22747,-38.5143,-3.72943
166652,22747,22427,-38.514,-3.72955
